Fx, Fy, Fz, Mx, My, Mz
-2.5502,-0.978233,-2.94283,0.123717,-1.47441,-0.672615
-3.0204,-0.452076,-1.50467,-0.270646,-2.37689,-0.552305
-2.12917,-0.497476,-3.07479,-0.2466,-0.952183,-0.631664
-3.83063,-0.640859,-2.49744,-0.16958,-2.37914,-0.776921
-3.20723,-0.203685,-0.996414,-0.532159,-2.49031,-0.565999
-4.16007,-0.5829,-1.96434,-0.274004,-2.67898,-0.82261
-2.64916,0.0567218,-2.86186,-0.680735,-1.11636,-0.444809
-4.00608,-0.36577,-1.60379,-0.461616,-2.55649,-0.731698
-3.20227,0.379352,-2.50308,-0.813226,-1.54203,-0.315575
-4.38363,-0.164534,-1.82102,-0.41219,-2.58874,-0.716763
-3.05637,0.366214,-2.177,-0.603604,-1.52153,-0.329194
-3.40794,0.172906,-0.828836,-0.430523,-2.38247,-0.484665
-2.43064,-0.13068,-0.95697,-0.134189,-1.65703,-0.562793
-1.85911,0.00263106,-0.108377,-0.216512,-1.77427,-0.444239
-1.53716,0.0680314,-1.30241,-0.00128804,-0.972249,-0.378096
-1.32054,-0.12167,-1.85746,0.327936,-0.561541,-0.474392
-2.04094,-0.446554,-1.50364,0.571611,-1.20362,-0.781547
0.788413,-0.598177,-0.432605,0.463401,-0.21964,-0.431181
-2.62163,-0.0968397,-1.79212,0.163939,-1.17558,-0.643446
0.698464,-0.342624,-1.10922,-0.0713872,0.49695,-0.236323
-1.63629,-0.482289,1.43697,-0.602236,-2.07817,-0.682397
-2.33943,-0.372945,-0.634665,-0.505226,-1.12108,-0.734435
-0.108091,-0.138262,0.608052,-0.87325,-0.587399,-0.240732
-2.05042,0.193576,1.90498,-1.26823,-2.48528,-0.37001
-0.640785,-0.00561785,1.09839,-1.08883,-1.28285,-0.283752
-2.60101,0.278668,-1.08453,-0.954222,-1.24469,-0.42532
-1.27608,0.249894,-1.61379,-0.914074,-0.283498,-0.209184
-3.03556,1.10356,-1.17505,-1.53427,-1.72188,0.0411813
-4.98083,2.08414,-0.262024,-2.31505,-3.5876,0.338991
-5.38939,2.07183,-1.71892,-2.13937,-3.02647,0.283218
-6.4879,2.85514,-0.873231,-2.78156,-4.32983,0.650516
-5.3261,2.47665,-1.97147,-2.41116,-2.98676,0.638201
-7.3148,2.47628,-2.45397,-2.36082,-4.15419,0.453684
-7.42796,3.61185,-3.1643,-3.02465,-3.85236,1.216
-9.28617,2.71842,-2.96212,-2.5007,-5.33741,0.564639
-8.86029,1.70584,-4.44441,-1.72022,-4.25338,0.131715
-7.85166,0.795339,-3.71264,-1.19967,-4.08338,-0.186762
-9.04974,-0.017007,-3.88472,-0.673936,-4.85042,-0.606027
-7.95413,0.0648122,-3.4304,-0.783461,-4.40862,-0.299151
-7.15849,0.274915,-3.23832,-0.931009,-4.00966,0.0460104
-8.51899,0.990616,-5.2268,-1.42913,-3.71511,0.691791
-6.39383,0.602056,-2.22797,-1.17151,-4.1281,0.596393
-8.34013,-0.322213,-4.48203,-0.590009,-4.01976,0.291644
-5.79767,-1.01298,-4.09869,-0.236715,-2.67095,-0.0699308
-6.75304,1.04587,-3.30741,-1.49183,-3.69335,1.28896
-5.4408,0.154198,-2.43183,-0.852487,-3.35326,0.80016
-6.74441,-1.84342,-4.2297,0.18814,-3.21693,0.00195263
-5.63186,-0.0456669,-1.35147,-0.602727,-4.0066,0.926532
-7.17524,-2.65844,-3.38951,0.688951,-3.80637,-0.171858
-6.10837,-1.31586,-0.783218,0.139045,-4.33243,0.297137
-5.5333,-1.0365,-2.65447,-0.459415,-2.88367,0.32716
-6.45474,-1.72743,-1.73948,-0.0132081,-3.80247,0.0963613
-7.72704,-1.84809,-1.33007,0.0445313,-4.71566,0.286539
-5.2735,-0.500726,1.07816,-0.277333,-4.33825,0.462126
-6.09528,-1.18203,-0.964796,0.047581,-3.49561,0.493878
-5.38623,-0.483594,0.994489,0.437578,-3.5162,0.731557
-5.22363,-0.971874,0.512759,0.88439,-2.8617,0.585872
-5.7514,-1.02882,0.981424,1.09721,-3.24007,0.783824
-4.28084,-0.814062,1.65486,1.10594,-2.70582,0.545551
