Fx, Fy, Fz, Mx, My, Mz
5.68021,0.916426,3.9544,-0.86692,4.02552,0.0618926
4.79364,0.986573,5.11139,-0.908194,2.909,0.125795
5.59008,1.37353,6.36373,-1.28679,3.398,0.257348
2.88876,1.7412,7.21984,-1.60705,0.665507,0.4322
3.8774,1.94215,10.237,-1.80937,0.897581,0.501523
2.32197,1.69226,10.0895,-1.60828,-0.378421,0.434539
2.78158,2.0568,12.4051,-2.01675,-0.364467,0.529612
0.0891158,1.44452,13.1296,-1.4634,-2.93296,0.297416
1.90339,0.905664,13.705,-1.06798,-1.18233,0.0985343
0.00858913,0.523687,11.42,-0.744108,-2.26178,-0.0677014
2.46096,0.737219,8.70874,-0.994362,0.873811,0.0805182
1.0963,0.404166,8.10315,-0.664535,-0.14938,-0.0460653
2.09446,0.730251,7.02494,-0.966546,1.0938,0.0949112
3.61013,0.783432,7.58992,-1.07618,2.25132,0.292322
4.79572,0.817785,9.26256,-1.17395,2.77497,0.390474
3.88805,0.645795,6.77723,-0.941598,2.50548,0.335914
4.04386,-0.414167,8.93049,-0.120301,2.13679,0.082075
2.19202,-0.81967,7.90347,0.278457,0.876387,-0.0810309
3.07643,-0.857115,6.97676,0.363609,1.84598,-0.0468394
1.36129,-0.947764,8.32307,0.484898,-0.0895694,-0.120596
2.61479,-0.693885,7.58711,0.392518,1.09857,0.0238443
1.20758,-0.363482,6.4083,0.236969,0.171667,0.0703259
-0.762643,-0.189556,7.33681,0.0735075,-1.71496,0.0433578
0.296861,0.318927,5.5433,-0.289906,-0.325243,0.257519
-1.36188,0.33381,6.76771,-0.349554,-2.01551,0.225026
-2.593,1.12241,3.63948,-0.793177,-2.17378,0.386982
-2.96348,1.01089,5.30669,-0.765978,-2.98228,0.362706
-3.67088,1.1617,2.36253,-0.74553,-2.77825,0.343027
-4.20422,0.328901,4.60025,-0.273234,-3.81103,0.0362953
-5.02629,-0.522571,3.88815,0.372013,-4.30848,-0.294135
-4.97149,-1.54198,1.68962,1.11914,-3.62858,-0.685242
-6.22455,-2.75651,0.746293,1.91288,-4.20353,-1.18193
-8.97714,-3.55723,-0.857267,2.41067,-5.67086,-1.55623
-8.43907,-3.80584,-0.646885,2.5328,-5.45441,-1.57844
-9.05401,-4.15771,-1.76147,2.77797,-5.65328,-1.6812
-8.14673,-4.48872,-4.11581,3.00857,-4.25486,-1.6403
-7.64166,-4.6375,-5.55643,3.03152,-3.25858,-1.58201
-6.9248,-4.69667,-6.07347,2.91765,-2.46876,-1.52352
-5.59207,-4.83403,-6.81603,2.85436,-1.21903,-1.4884
-4.65147,-4.65688,-10.2996,2.6172,0.765534,-1.35395
-3.8087,-3.6486,-12.1335,1.8321,1.99608,-0.921336
-2.8448,-2.92654,-10.1678,1.27963,1.96826,-0.622311
-3.10607,-1.795,-11.1037,0.406883,2.07881,-0.122514
-0.384579,0.0356854,-10.4018,-0.861138,3.49761,0.466167
2.67675,1.72274,-5.78583,-1.68254,3.57721,0.92652
3.08116,3.35235,-5.50145,-2.755,3.72666,1.49804
4.43432,5.67414,-1.48769,-4.00219,3.01516,2.2232
4.8002,6.08459,-1.50076,-4.27837,3.17129,2.26846
4.92282,5.92342,-1.24651,-4.09975,2.99973,2.08751
4.65971,6.19463,-0.792359,-4.21552,2.54804,2.14223
4.29383,6.22918,-1.19,-4.33189,2.69727,2.04597
3.20348,4.97999,-2.17457,-3.71684,2.78439,1.61419
1.03432,2.81224,-1.42805,-2.26595,1.35592,0.914465
0.484099,1.3878,-0.808689,-1.27606,0.885091,0.405601
-0.826428,0.449425,0.304758,-0.516779,-0.461898,0.112775
-0.568693,-0.938789,1.62719,0.639288,-0.867302,-0.382012
-1.07132,-1.45016,2.42729,1.03382,-1.70127,-0.514826
-1.2478,-1.50343,2.36802,1.02949,-1.82316,-0.522922
-2.61403,-1.47061,2.20774,1.00172,-2.86738,-0.46274
-3.44795,-1.09388,1.89117,0.679123,-3.42484,-0.298736
-3.10519,-1.16452,1.72474,0.73697,-3.07383,-0.332672
-3.05626,-0.942672,1.62559,0.556977,-2.98012,-0.250344
-2.76075,-0.860159,1.34797,0.495196,-2.65589,-0.205962
-2.06415,-0.455694,1.02899,0.178413,-1.9826,-0.0482011
-2.24298,-0.354855,0.797672,0.114872,-2.04685,0.00517529
-2.06036,-0.521788,0.297155,0.242854,-1.71725,-0.0739302
-2.01998,-0.643757,0.0973521,0.34926,-1.61865,-0.124952
-1.89683,-0.531976,0.090829,0.26402,-1.52116,-0.0893827
-2.01143,-0.519624,0.0886095,0.252651,-1.60948,-0.083476
-1.81573,-0.562547,0.149116,0.285648,-1.47,-0.101615
-1.80313,-0.535252,0.196971,0.258003,-1.46714,-0.0911084
-1.88131,-0.534516,0.198783,0.258818,-1.5296,-0.0858822
-1.57793,-0.516692,0.17128,0.244161,-1.2719,-0.0925764
-1.75117,-0.509657,0.154806,0.233505,-1.40462,-0.0803822
-1.25722,-0.514203,0.229748,0.240559,-1.02861,-0.10365
-1.66265,-0.504493,0.228966,0.232986,-1.35474,-0.0870327
-1.49962,-0.490987,0.187878,0.214342,-1.20661,-0.0880076
-1.68302,-0.542819,0.265091,0.259702,-1.37588,-0.0972873
-1.06802,-0.449647,0.321547,0.151906,-0.895243,0.0109274
-1.81305,-0.271731,0.445741,0.0204567,-1.5199,0.131708
-1.2476,-0.158129,0.386249,-0.0661082,-1.03087,0.149021
-1.68349,-0.271515,0.382403,0.00921007,-1.35873,0.115639
-1.37703,-0.188386,0.415702,-0.115103,-1.12377,0.141433
-1.2614,-0.422076,0.445481,-0.0528907,-1.05192,0.0330292
-1.22577,-0.363387,0.446685,-0.275858,-1.04527,0.0400066
-1.18678,-0.652533,0.439915,-0.192682,-1.02039,-0.103781
-1.51724,-0.877148,0.248575,-0.0812821,-1.19183,-0.190435
-1.90987,-1.02826,0.22674,0.0179679,-1.46404,-0.220297
-2.00206,-1.23349,0.280722,0.173306,-1.54032,-0.288326
-2.19861,-1.1761,0.27294,0.125599,-1.66534,-0.251968
-2.29791,-1.31066,0.336051,0.244306,-1.75292,-0.284013
-2.40759,-1.18874,0.268367,0.14349,-1.81863,-0.225692
-2.39407,-1.30444,0.229019,0.222505,-1.81071,-0.277637
-2.45131,-1.14453,0.143135,0.0735994,-1.84317,-0.211046
