Fx, Fy, Fz, Mx, My, Mz
-2.05311,0.307576,1.31886,-0.293674,-1.13836,-0.182642
-2.02443,0.326527,1.24914,-0.286908,-1.10883,-0.17271
-2.04547,0.343506,1.29709,-0.296588,-1.13298,-0.168334
-2.02829,0.304529,1.24926,-0.284253,-1.10738,-0.181295
-2.06207,0.347481,1.31245,-0.304238,-1.14119,-0.168638
-2.07402,0.330157,1.30363,-0.302669,-1.1371,-0.180576
-2.0558,0.303792,1.25795,-0.287909,-1.11498,-0.187173
-2.03388,0.336087,1.24879,-0.294915,-1.10691,-0.171348
-2.06973,0.355571,1.26112,-0.303227,-1.12277,-0.169044
-2.04429,0.31619,1.34851,-0.300421,-1.14395,-0.18016
-2.03668,0.354343,1.29825,-0.299787,-1.12777,-0.161629
-2.08542,0.358611,1.34728,-0.310303,-1.16015,-0.167446
-2.05619,0.292782,1.2766,-0.285459,-1.12427,-0.188113
-2.06015,0.369503,1.32379,-0.313965,-1.14516,-0.16069
-2.03849,0.295061,1.30562,-0.289676,-1.12691,-0.188168
-2.04108,0.314982,1.29726,-0.288917,-1.12889,-0.17752
-2.05633,0.328169,1.33557,-0.299369,-1.14679,-0.174698
-2.02291,0.293416,1.29629,-0.285174,-1.12069,-0.184057
-2.03703,0.33718,1.2789,-0.296303,-1.11868,-0.169974
-2.08666,0.305217,1.31815,-0.291249,-1.14978,-0.189656
-2.02808,0.334121,1.28944,-0.298811,-1.11979,-0.172305
-2.02782,0.30815,1.28229,-0.287973,-1.11616,-0.181203
-2.02227,0.299984,1.25963,-0.28649,-1.10612,-0.184913
-2.09937,0.340427,1.35101,-0.310765,-1.1623,-0.178776
-2.02381,0.301249,1.25213,-0.285299,-1.10327,-0.182015
-2.02442,0.293665,1.25409,-0.283827,-1.10354,-0.185412
-2.05142,0.300664,1.27429,-0.287401,-1.12045,-0.184683
-2.08952,0.330463,1.33957,-0.307118,-1.15609,-0.182026
-2.06202,0.329983,1.27437,-0.292774,-1.12884,-0.175584
-2.06529,0.303149,1.26434,-0.284272,-1.1264,-0.182618
-2.0337,0.306344,1.28241,-0.282171,-1.12507,-0.175525
-2.05134,0.302622,1.28112,-0.284527,-1.12724,-0.18195
-2.09593,0.302889,1.33083,-0.288166,-1.16045,-0.188058
-2.11574,0.349406,1.30807,-0.304868,-1.1585,-0.177456
-2.05431,0.370405,1.27806,-0.309801,-1.12319,-0.161173
-2.06625,0.314384,1.30405,-0.29166,-1.13906,-0.183553
-2.07075,0.315962,1.32802,-0.293612,-1.1491,-0.183545
-2.03608,0.342531,1.31183,-0.309132,-1.12873,-0.172793
-2.08124,0.349087,1.32311,-0.315805,-1.14474,-0.177501
-2.05756,0.319668,1.23622,-0.297226,-1.10566,-0.184765
-2.04937,0.313584,1.31474,-0.302429,-1.13159,-0.185505
-2.02129,0.344439,1.31315,-0.305884,-1.12559,-0.167787
-2.06106,0.300543,1.24074,-0.285134,-1.11224,-0.189728
-2.08682,0.355573,1.33058,-0.31273,-1.1523,-0.173092
-2.09452,0.310102,1.30549,-0.297396,-1.14436,-0.191441
-2.05875,0.340591,1.31277,-0.305435,-1.13695,-0.174445
-2.05,0.334515,1.27995,-0.302392,-1.12291,-0.175307
-2.06282,0.30975,1.26611,-0.288505,-1.12535,-0.185705
-2.05426,0.337216,1.30856,-0.310075,-1.13326,-0.178672
-2.03533,0.362755,1.30142,-0.316597,-1.12542,-0.167097
-2.05757,0.345836,1.25025,-0.315282,-1.10835,-0.179452
-2.05091,0.321418,1.3027,-0.31045,-1.12582,-0.188555
-2.08603,0.335848,1.30622,-0.308284,-1.14287,-0.183951
-2.06693,0.334899,1.3143,-0.304514,-1.14147,-0.178205
-2.0595,0.332732,1.34307,-0.307194,-1.14698,-0.181185
-2.04805,0.315323,1.30499,-0.28935,-1.13437,-0.180028
-2.05714,0.351267,1.26396,-0.288837,-1.12652,-0.163613
-2.01764,0.325348,1.33831,-0.307924,-1.13145,-0.177383
-2.03473,0.310074,1.24632,-0.287419,-1.10558,-0.183047
-2.0647,0.32281,1.25923,-0.292261,-1.12271,-0.181501
-2.05295,0.329591,1.30369,-0.305694,-1.13156,-0.17539
-2.076,0.327866,1.31693,-0.30195,-1.14525,-0.180063
-2.0238,0.310401,1.28948,-0.295851,-1.11847,-0.179966
-2.08677,0.30703,1.28248,-0.286304,-1.14036,-0.187189
-2.04589,0.302834,1.33355,-0.292174,-1.14356,-0.182589
