Fx, Fy, Fz, Mx, My, Mz
-2.03297,0.361713,-0.362303,-0.175394,-1.07749,0.185815
-2.15114,0.387113,-0.261653,-0.180184,-1.16648,0.202075
-2.11133,0.335967,-0.340646,-0.163825,-1.11814,0.176716
-2.08696,0.375477,-0.38215,-0.183982,-1.0914,0.192701
-2.13564,0.346932,-0.332992,-0.169634,-1.13325,0.179863
-2.15932,0.412384,-0.326495,-0.196814,-1.14573,0.20924
-2.10539,0.342218,-0.29226,-0.165902,-1.13476,0.175929
-2.17268,0.506669,-0.190754,-0.213813,-1.20654,0.252398
-2.17746,1.30039,0.268792,-0.463013,-1.41844,0.60567
-1.90346,2.26221,1.43271,-0.694196,-1.84463,0.994097
-2.0081,3.09112,1.95296,-0.901534,-2.14189,1.3718
-2.72308,4.21622,1.86287,-1.27841,-2.38548,1.92943
-1.08958,6.0848,2.11074,-1.88037,-1.87592,2.66427
0.279787,7.59281,1.88712,-2.31308,-1.30644,3.25228
1.39318,8.84258,1.21063,-2.78219,-0.618884,3.74412
1.49338,8.68749,0.502914,-2.73313,-0.292258,3.6866
1.81524,8.06058,-0.81351,-2.5383,0.396179,3.39598
2.32061,7.09764,-1.45135,-2.22309,0.858195,2.95797
2.95381,6.79713,-1.27422,-2.09218,1.02736,2.84966
3.82508,7.63027,0.0992366,-2.30908,0.847919,3.26871
4.10677,8.34651,0.392604,-2.41236,0.86253,3.57647
3.4384,9.05464,0.209123,-2.57418,0.681259,3.79077
3.84726,8.83319,0.137639,-2.50243,0.827563,3.68239
4.87097,8.25344,0.517964,-2.32454,1.01694,3.52438
5.1809,8.33383,0.387762,-2.32738,1.16298,3.63228
5.13039,8.09675,-0.346925,-2.12052,1.44429,3.56873
5.06337,8.77909,-0.588674,-2.29381,1.51551,3.85445
5.01394,8.613,-0.635921,-2.19442,1.51253,3.78577
5.37829,8.57625,-0.873278,-2.12269,1.71378,3.84
5.84482,7.39928,-0.682001,-1.67577,1.7709,3.48113
6.2036,8.19557,-0.768973,-1.86974,1.92373,3.89817
5.62632,8.87963,-1.17685,-1.93534,1.86575,4.10622
5.49894,8.73567,-0.917142,-1.86585,1.66603,4.08382
4.74166,8.25524,-0.650995,-1.69894,1.27701,3.81975
4.75081,8.40773,-0.58152,-1.72173,1.25138,3.8749
4.80485,8.79368,-0.467852,-1.83212,1.22871,4.03282
4.49528,7.57533,-0.0948495,-1.43801,0.956224,3.5455
4.29481,7.36805,0.0691353,-1.399,0.804421,3.46225
3.36366,5.91269,-0.215166,-0.941713,0.611644,2.80553
1.41369,3.4874,-0.204205,-0.370264,0.0187242,1.55128
-0.184859,1.26472,-0.775591,0.253065,-0.227344,0.434663
-1.80605,-0.347678,-1.72413,0.830559,-0.387563,-0.429281
-2.03612,-0.920427,-1.80692,0.977527,-0.447628,-0.660409
-1.73032,-0.752947,-1.44896,0.838486,-0.482823,-0.523415
-0.951602,0.167113,-1.1679,0.491397,-0.316107,0.00721386
0.915116,2.33778,-0.101213,-0.344976,-0.0964048,1.18904
1.80009,4.05789,1.04237,-1.02797,-0.325953,1.98462
1.46136,4.20955,0.543155,-1.09806,-0.26198,1.98184
1.77642,2.9644,0.400801,-0.725046,-0.0669175,1.49271
2.02144,3.86255,1.12987,-1.15969,-0.196552,1.86311
1.32149,4.0435,0.507123,-1.19981,-0.171266,1.84173
0.190472,4.27402,-0.36941,-1.23716,-0.174741,1.78718
-0.402524,4.67627,-0.595291,-1.34403,-0.24349,1.86861
0.0859266,4.57016,-0.652432,-1.31102,-0.0317913,1.90314
2.22237,3.53692,0.338208,-1.06751,0.293543,1.84992
3.03189,3.12645,0.489031,-0.949291,0.554023,1.85201
1.42881,3.41034,-0.113333,-0.935831,0.35435,1.69101
2.5988,2.43672,-0.412013,-0.557138,1.02908,1.46783
2.5497,1.33192,-0.422792,-0.25204,1.14977,1.06144
1.71282,0.339936,-0.934144,0.142637,1.15868,0.565247
1.44675,-0.191542,-0.886545,0.318703,1.13173,0.342793
2.0667,-0.287672,-0.59237,0.318844,1.34156,0.406373
2.59419,-0.288081,-0.145935,0.287099,1.44027,0.485135
3.08738,-0.431906,0.0692396,0.332551,1.56779,0.500811
3.64741,-0.330387,0.736459,0.250186,1.58308,0.61323
3.62932,-0.397844,1.07496,0.276161,1.56516,0.561054
4.03369,-1.15628,1.70246,0.452666,1.57825,0.308034
4.30795,-1.33403,2.06525,0.569262,1.60512,0.244642
3.74775,-1.34225,2.41413,0.691392,1.17745,0.152822
3.35358,-1.6855,2.14626,0.885824,0.901989,-0.0542106
