Fx, Fy, Fz, Mx, My, Mz
-5.62726,2.39963,0.0788921,-0.495162,-1.31846,1.15172
-3.87514,2.3828,-1.46577,-0.55969,-0.186961,0.95028
-4.5544,2.26138,-1.9886,-0.543164,-0.208738,0.846237
-3.76962,1.80997,-1.39829,-0.386378,-0.306933,0.554124
-4.41051,2.46632,-0.853868,-0.575873,-0.881982,0.762049
-2.95398,1.80894,0.877886,-0.458425,-1.32133,0.357802
-3.33957,1.42417,2.28329,-0.417206,-2.07745,0.154525
-3.36337,0.558336,0.87058,-0.230501,-1.47239,-0.282724
-3.30643,-0.742711,1.41645,0.0340691,-1.79268,-0.872507
-3.81418,-2.3695,-1.19271,0.579439,-0.878941,-1.67119
-2.72545,-1.10196,-0.698407,0.354302,-0.925394,-0.937623
-1.51559,-0.111025,1.07966,0.117767,-1.48365,-0.240389
-1.08996,1.26404,0.537703,-0.0671555,-1.19929,0.531201
0.0654575,1.19301,-0.180529,0.145631,-0.645467,0.759912
-0.4671,0.537799,-0.340788,0.232188,-0.697622,0.305041
-0.811919,-1.14128,-1.30803,0.7409,-0.292751,-0.671472
-1.23839,-1.09869,-2.13893,0.874218,-0.0820405,-0.770201
-1.91602,-2.6511,-4.55225,1.81762,0.664056,-1.7005
-2.31391,-4.80039,-6.74012,2.78364,1.24713,-2.6881
-3.67631,-5.60274,-8.34893,3.20348,1.36332,-3.30262
-4.29289,-5.64198,-9.69628,3.6255,1.55086,-3.40678
-4.16944,-5.14321,-8.61796,3.49082,0.866682,-3.14426
-2.84441,-4.53076,-4.4608,2.65657,-0.549883,-2.46048
-2.24908,-3.64715,-3.69139,2.37588,-0.533101,-1.86598
-1.28818,-3.60448,-2.40962,2.22318,-0.67889,-1.59069
-1.03194,-3.5232,-3.61653,2.63201,0.250857,-1.51237
-0.241349,-4.47341,-4.80727,3.4688,1.27078,-1.78048
0.290332,-4.94194,-4.59291,3.72184,1.41368,-1.92303
0.360576,-5.00676,-4.20167,3.8102,1.17458,-1.92126
0.854044,-4.23628,-4.00544,3.62882,1.16322,-1.44827
0.419595,-5.06127,-1.8653,3.64749,-0.048069,-1.98557
1.7745,-4.77192,-3.0471,3.8005,1.1958,-1.65674
1.46496,-4.9259,-2.72594,3.74465,0.983696,-1.88399
0.512587,-4.10422,-1.06596,2.94948,-0.141195,-1.66295
0.863982,-4.82458,-2.17515,3.20015,0.818451,-1.98298
1.02853,-4.54791,-1.86026,2.84308,0.775409,-1.84093
-0.684614,-3.83113,-0.178316,2.12087,-0.763285,-1.5725
-0.045094,-3.20764,-0.86315,1.81666,-0.000329567,-1.09777
-0.854646,-3.08412,0.307128,1.71573,-1.01649,-1.07905
-0.183622,-1.73166,0.811216,1.01354,-0.890589,-0.426357
-0.514336,-1.33056,1.286,0.75464,-1.278,-0.267666
-0.312169,-1.08535,1.04688,0.502804,-0.971849,-0.29124
-1.11984,-0.916921,1.93678,0.344834,-1.80462,-0.29326
-1.03007,-1.42968,2.91463,0.573962,-2.29853,-0.563444
-0.942518,-1.70158,3.83354,0.730408,-2.70909,-0.711256
-1.46076,-0.414518,4.44002,0.160691,-3.19657,-0.0943643
-1.77003,1.80066,4.34998,-0.876578,-3.15292,0.955668
-2.07418,3.95317,4.26565,-1.77663,-3.14141,2.02295
-0.477991,6.70647,7.79828,-2.34376,-3.70987,3.25317
0.254653,7.7228,5.17312,-2.91514,-2.04917,3.58869
-0.62689,7.47257,4.83914,-2.42477,-2.24211,3.38778
-0.970997,7.27209,5.64535,-1.84003,-2.77404,3.18686
1.6065,6.21439,5.3044,-1.05323,-1.33883,2.34544
1.72745,5.67774,4.97922,-0.758594,-1.11362,1.9887
2.7275,5.22548,3.58796,-0.714033,-0.10672,1.70622
2.80277,5.17479,3.14803,-0.868673,0.0632765,1.74277
2.87009,3.97182,2.78079,-0.878461,0.0612702,1.45611
4.22739,3.26957,2.44332,-0.744731,0.746749,1.13039
5.20335,3.48167,4.95674,-0.847686,0.0933253,1.12301
3.52756,3.57548,2.53117,-0.893341,0.548503,1.05293
3.17491,4.2374,3.0133,-1.10022,0.199774,1.17174
0.043116,5.21322,3.37239,-1.39723,-1.01794,1.42693
-3.10827,5.247,-0.258236,-1.35689,-0.649457,1.37919
-4.10059,5.0553,0.701503,-1.35654,-1.32262,1.2167
-3.62193,5.3374,0.454971,-1.39766,-1.01584,1.23246
-3.43799,5.52246,1.69519,-1.428,-1.27976,1.07011
-2.93222,5.62256,3.19722,-1.4759,-1.57231,0.896556
-2.68792,7.04159,3.98679,-1.88336,-1.66014,1.15031
-2.69657,6.66677,3.88408,-1.7785,-1.57408,0.920469
-3.81812,6.56357,3.90052,-1.83324,-1.84396,0.76879
-3.86386,7.67409,3.94273,-2.16057,-1.7869,1.1104
-4.15756,7.20134,3.24915,-2.08885,-1.57246,0.91032
-4.80589,6.93897,4.40562,-2.26168,-2.09392,0.811074
-5.22473,6.04653,4.47889,-2.20232,-2.25058,0.556654
-7.2312,5.70405,5.58321,-2.40882,-3.11599,0.210365
-7.44199,5.91614,4.8497,-2.51077,-2.94347,0.299402
-8.95334,5.28991,6.67003,-2.83024,-4.0092,-0.136527
-9.80095,5.88777,7.38306,-3.27037,-4.55126,-0.100116
-10.9363,5.35411,7.86257,-3.2594,-5.18058,-0.587319
-9.3341,4.59607,6.70479,-2.93303,-4.50186,-0.605346
-9.26905,4.51592,7.47888,-3.1115,-4.94167,-0.62491
-9.63587,3.16385,6.83629,-2.68065,-4.94371,-1.17891
-10.6516,2.49947,4.59149,-2.02085,-4.56016,-1.58081
-10.5443,1.09244,2.10209,-1.06848,-3.76562,-1.99533
-7.84461,-3.39354,-2.96552,1.12991,-1.2,-3.02706
-5.70016,-5.27948,-4.44511,1.89679,0.00897731,-3.24303
-2.06855,-7.11524,-5.8586,2.52259,1.62013,-3.21581
-0.765434,-6.65499,-6.11419,2.33591,2.15966,-2.7184
2.23302,-7.0104,-3.9091,1.69105,2.03205,-2.31112
1.68024,-6.93961,-2.66153,1.09988,1.2802,-2.49935
1.19168,-7.11588,-1.47955,0.732388,0.580493,-2.82727
0.736796,-6.41297,-1.0178,0.387699,0.221524,-2.58801
-0.419974,-5.48868,-0.3417,-0.0677779,-0.443273,-2.44499
-0.577883,-5.45201,0.283515,-0.0902403,-0.866646,-2.50808
-1.14718,-4.76717,0.18432,-0.257522,-1.00258,-2.24868
-1.21363,-4.07161,-0.700111,-0.256627,-0.565447,-1.84047
-0.957008,-3.30152,-1.54053,-0.304283,-0.0404015,-1.3779
-0.238356,-2.20215,-2.28663,-0.427202,0.64091,-0.69692
0.401816,-2.22616,-3.19995,-0.411643,1.32161,-0.721307
0.743063,-2.25561,-3.54037,-0.406108,1.62417,-0.76909
0.585705,-2.3084,-4.45158,-0.306361,2.12227,-0.873102
0.735707,-1.69024,-4.79283,-0.431095,2.37213,-0.55749
1.36001,-1.11146,-5.05131,-0.487238,2.76281,-0.284324
2.3645,-0.562681,-4.3747,-0.593128,2.74921,-0.121766
3.89677,0.0720231,-2.61581,-0.501267,2.23674,0.0529519
5.39613,0.681755,-1.70518,-0.430667,2.22957,0.230125
6.61219,2.10258,-0.122151,-0.430488,1.957,0.743922
6.25165,3.13511,0.0380303,-0.642136,1.88309,1.11291
5.45659,3.73846,-2.01184,-1.18622,2.72029,1.3303
6.86181,4.58186,-3.55559,-1.93768,4.03179,1.24192
6.64902,6.77019,-8.62916,-3.92915,6.34729,2.14514
6.10057,8.55896,-9.08776,-5.03275,6.23829,2.96716
6.90747,9.68148,-9.92628,-5.89457,6.93519,3.22825
5.30532,10.4535,-7.95152,-5.88705,5.32425,3.94619
7.69095,10.6538,-7.97582,-6.19066,6.41023,3.44764
7.44344,9.62316,-5.94322,-5.5295,5.4434,2.97597
9.73306,9.33692,-6.14501,-5.74391,6.60804,2.26994
8.32218,8.50867,-5.3895,-5.42515,5.69716,2.23103
8.75947,8.42383,-5.9009,-5.70712,6.20527,2.07933
7.15109,9.0085,-6.00157,-6.2297,5.50824,2.73958
5.21482,8.86899,-5.54546,-6.16521,4.41959,3.08921
0.876202,8.41395,-3.38682,-5.61762,1.43609,3.79654
-2.37826,7.87345,-1.19825,-4.98842,-1.00152,4.12609
-6.37532,7.27737,1.47784,-4.14247,-4.11933,4.50004
-6.02529,6.14193,1.26687,-3.61143,-3.93541,3.71708
-6.22125,6.00623,0.81372,-3.61339,-3.9506,3.47644
-4.31834,5.27511,-0.439493,-3.50425,-2.45857,2.67856
-3.65806,5.67116,-1.52137,-3.86263,-1.66784,2.68659
